"gisid","latitude","longitude","High Activity Insitu Well Pads","Roads","Plant/Mine","Dense Linear Features","Low Activity Well Pads","Plant/Mine Buffer","Low Disturbance/Reference"
"3-1C4-CA2_3444_2024",55.34879,-110.92751,0,0,0,0.587,0.412,0,0
"3-1C4-CA3_3444_2024",55.34831,-110.93905,0,0,0,0.861,0.139,0,0
"3-1C4-CA4_3444_2024",55.34585,-110.91912,0,0,0,1,0,0,0
"3-1D1-CA1_3444_2024",55.539129,-110.89392,1,0,0,0,0,0,0
"3-1D1-CA3_3444_2024",55.537295,-110.909034,1,0,0,0,0,0,0
"3-1D1-CA4_3444_2024",55.543444,-110.891873,1,0,0,0,0,0,0
"3-1D1-CA7_3444_2024",55.54356,-110.90509,1,0,0,0,0,0,0
"3-1D2-CA2_3444_2024",55.52165,-111.05488,0,0.476,0,0,0.524,0,0
"3-1D2-CA4_3444_2024",55.52255,-111.06084,0,0.897,0,0,0.102,0,0
"3-1D2-CA5_3444_2024",55.52576,-111.05289,0,1,0,0,0,0,0
"3-1D3-CA1_3444_2024",55.57888,-110.81865,1,0,0,0,0,0,0
"3-1D3-CA2_3444_2024",55.58733,-110.80967,1,0,0,0,0,0,0
"3-1D3-CA4_3444_2024",55.58187,-110.8114,0.805,0,0,0,0.194,0,0
"3-1D3-CA5_3444_2024",55.58651,-110.79873,0.044,0.851,0,0,0.104,0,0
"3-1D4-CA1_3444_2024",55.35603,-111.06174,0,0.587,0,0,0.412,0,0
"3-1D4-CA2_3444_2024",55.35372,-111.0519,0,0.066,0,0,0.004,0.929,0
"3-1D4-CA4_3444_2024",55.3527,-111.0668,0,0.569,0,0.046,0.385,0,0
"3-1D4-CA5_3444_2024",55.34944,-111.05428,0,0.016,0,0,0.635,0.348,0
"3-1E1-CA1_3444_2024",55.539379,-110.970047,0,0,0,0,1,0,0
"3-1E1-CA2_3444_2024",55.543934,-110.961986,0,0,0,0,1,0,0
"3-1E1-CA3_3444_2024",55.539445,-110.957232,0,0,0,0,1,0,0
"3-1E1-CA4_3444_2024",55.543793,-110.970938,0,0,0,0,1,0,0
"3-1E2-CA1_3444_2024",55.33535,-110.9842,0,0,0,0,1,0,0
